DateTime,Entries,UniqueIPs
1557877731,80,80
1557879643,81,81
1557883463,82,82
1557885376,83,83
1557887305,84,84
1557891157,83,83
1557894989,79,79
1557898846,78,78
1557900782,80,80
1557904608,81,81
1557906510,82,82
1557908445,81,81
1557910344,83,83
1557912272,86,86
1557916123,87,87
1557919946,89,89
1557921867,88,88
1557923789,87,87
1557927621,88,88
1557929561,87,87
1557931468,88,88
1557933407,89,89
1557935344,90,90
1557937245,92,92
1557939157,93,93
1557941063,91,91
1557943008,92,92
1557944913,91,91
1557948779,92,92
1557952589,89,89
1557954529,89,89
1557956444,90,90
1557958354,91,91
1557960282,93,93
1557962207,84,84
1557964109,83,83
1557966020,85,85
1557967956,84,84
1557970000,85,85
1557972061,87,87
1557973947,88,88
1557979719,90,90
1557981645,89,89
1557983550,90,90
1557987413,89,89
1557991483,90,90
1557993401,90,90
1557995329,89,89
1557997255,89,89
1557999387,88,88
1558001572,87,87
1558003488,87,87
1558005380,87,87
1558007326,87,87
1558009287,91,91
1558011142,93,93
1558013061,95,95
1558016937,97,97
1558019823,96,96
1558022966,97,97
1558024830,96,96
1558026739,98,98
1558030590,97,97
1558034415,97,97
1558036344,100,100
1558038259,99,99
1558040200,101,101
1558042111,102,102
1558044052,90,90
1558045955,91,91
1558047913,90,90
1558049777,90,90
1558051735,88,88
1558053618,87,87
1558055567,89,89
1558057455,88,88
1558059379,88,88
1558063212,87,87
1558065135,86,86
1558067066,87,87
1558069001,87,87
1558070901,88,88
1558074741,89,89
1558076714,88,88
1558078574,89,89
1558082669,90,90
1558084602,88,88
1558086497,88,88
1558090373,87,87
1558092255,85,85
1558094175,86,86
1558096100,82,82
1558098063,81,81
1558099939,85,85
1558101828,86,86
1558103773,85,85
1558105703,86,86
1558107788,85,85
1558109790,87,87
1558111732,87,87
1558113865,86,86
1558115774,91,91
1558119721,90,90
1558121539,88,88
1558123725,88,88
1558125613,88,88
1558127552,87,87
1558129454,87,87
1558131501,87,87
1558133837,88,88
1558135802,89,89
1558137893,87,87
1558139794,86,86
1558141724,87,87
1558143866,86,86
1558145810,87,87
1558150102,87,87
1558152283,86,86
1558154425,84,84
1558156590,84,84
1558158544,82,82
1558160463,81,81
1558162550,81,81
1558166493,83,83
1558168345,82,82
1558170304,81,81
1558177954,79,79
1558179878,78,78
1558183697,79,79
1558185620,79,79
1558189459,80,80
1558193304,82,82
1558195128,79,79
1558197141,80,80
1558201107,78,78
1558202920,76,76
1558204829,77,77
1558206738,78,78
1558208680,80,80
1558210586,79,79
1558212753,76,76
1558214689,78,78
1558216580,76,76
1558218497,76,76
1558220518,73,73
1558222367,73,73
1558224299,78,78
1558226178,81,81
1558228130,85,85
1558230042,85,85
1558231947,84,84
1558233877,86,86
1558235787,87,87
1558237704,92,92
1558239615,95,95
1558241559,94,94
1558243467,93,93
1558251185,92,92
1558253131,92,92
1558257146,95,95
1558259063,96,96
1558261006,98,98
1558262931,97,97
1558266752,99,99
1558270603,99,99
1558272509,97,97
1558274513,96,96
1558278288,95,95
1558280199,98,98
1558284048,97,97
1558285948,96,96
1558287873,96,96
1558289804,97,97
1558293626,95,95
1558295581,94,94
1558297461,93,93
1558299385,93,93
1558301324,90,90
1558303347,91,91
1558305191,94,94
1558307087,92,92
1558308978,90,90
1558311176,93,93
1558313082,95,95
1558314999,92,92
1558316911,90,90
1558318845,90,90
1558320752,88,88
1558322683,86,86
1558324589,83,83
1558326504,82,82
1558330363,83,83
1558332294,83,83
1558336122,83,83
1558338028,84,84
1558339941,83,83
1558341882,84,84
1558343803,85,85
1558345722,86,86
1558347625,84,84
1558349536,85,85
1558351459,85,85
1558353390,84,84
1558357270,84,84
1558359192,85,85
1558361105,86,86
1558364926,83,83
1558366824,84,84
1558370673,85,85
1558374506,85,85
1558376308,84,84
1558378363,83,83
1558380276,84,84
1558382202,85,85
1558384122,89,89
1558386105,90,90
1558387962,92,92
1558389912,91,91
1558391780,90,90
1558393731,95,95
1558395629,96,96
1558397543,98,98
1558399484,99,99
1558401415,99,99
1558403304,99,99
1558405226,98,98
1558407169,96,96
1558409068,95,95
1558411008,96,96
1558412907,95,95
1558414908,96,96
1558418727,95,95
1558422511,94,94
1558424445,93,93
1558426378,91,91
1558428285,91,91
1558430200,90,90
1558432130,89,89
1558434036,87,87
1558435949,87,87
1558439797,87,87
1558441741,87,87
1558443646,87,87
1558445568,88,88
1558447554,86,86
1558449410,86,86
1558451322,85,85
1558453234,83,83
1558455145,85,85
1558456992,84,84
1558458994,83,83
1558460914,84,84
1558466893,86,86
1558468909,86,86
1558470763,82,82
1558472692,81,81
1558474816,81,81
1558476738,82,82
1558479777,79,79
1558481772,76,76
1558483702,74,74
1558485622,75,75
1558487535,78,78
1558489461,81,81
1558491396,81,81
1558493295,80,80
1558495478,83,83
1558497405,82,82
1558499308,83,83
1558501362,83,83
1558503166,84,84
1558505140,83,83
1558507018,82,82
1558508945,81,81
1558512752,82,82
1558514685,80,80
1558518517,81,81
1558522364,81,81
1558524281,84,84
1558526206,82,82
1558528100,79,79
1558530140,78,78
1558531946,79,79
1558535787,79,79
1558537697,83,83
1558539894,91,91
1558541808,91,91
1558545647,91,91
1558547559,89,89
1558549870,90,90
1558551989,90,90
1558554019,88,88
1558555936,86,86
1558557888,88,88
1558560063,87,87
